Gross Earnings
415004880
334191110
312433331
300531751
295001070
292576195
251513985
238736787
217581231
200821936
176591618
172062763
171050328
163214888
162001186
148438600
148415853
135453143
131772187
128012934
119219978
118311368
117229692
110485654
106954678
105269730
104386950
103068524
100539043
100246011
98711404
96962694
95347692
94835059
93617009
92186262
90759676
90380162
88768303
84752907
81562942
80574010
80014842
77222099
76423035
73026337
67631157
67061228
64003625
63150991
63075011
62950384
61979680
60974475
60128566
60095852
60022256
59713955
58401464
57744720
55675313
53374681
53032453
52474616
52000688
50287556
48071303
47059963
45710178
44875481
43585753
43313890
42779261
42739347
42400223
41034350
40168080
39440655
39123589
37729698
37490007
36661504
35606376
35053660
33644788
33601190
32746941
32680633
32367005
32010860
31524275
31162545
31011732
30212620
30101577
29011215
28151093
27779426
27163593
26593646
26167002
25918920
25702053
25107267
25003155
24719879
24307086
24077427
23591432
23240020
21540363
21393620
21148651
20811365
20255281
20218921
19422319
19068240
18335230
17804299
17630465
17010170
15541549
15281286
14744435
13794835
13261851
12134935
12068313
10741486
10547117
10095170
9706328
9540691
9176933
8525600
7638241
7468936
7320323
6783129
6671036
6617867
6531503
6417135
6391436
6363628
5666340
5190196
5005465
4817770
