Team,total runs,attendance,wins
New York Yankees,859,46491,95
Boston Red Sox,818,37610,89
Tampa Bay Rays,802,22758,96
Texas Rangers,787,30928,90
Minnesota Twins,781,39798,94
Toronto Blue Jays,755,20068,85
Chicago White Sox,752,27091,88
Detroit Tigers,751,30385,81
Los Angeles Angels,681,40133,80
Kansas City Royals,676,20191,67
Oakland Athletics,663,17511,81
Cleveland Indians,646,17435,69
Baltimore Orioles,613,21662,66
Seattle Mariners,513,25746,61
