Layout,Passenger Volume,Highway Fuel Economy,Drag Coefficient,Fuel Type,Head Room,Ground Clearance,Shoulder Room,Power,title,Trailer Weight,Cargo Volume (Seats Folded),Front Track,Volume,Front Suspension,Front,Rear Track,Leg Room,Rear,Weight Distribution,Transmission,Front Tires,Wheelbase,Seats,Length,Body Style,Market Segment,Forced Induction,Weight,Rear Suspension,Width,Direct Injection,Tongue Weight,Torque,Cargo Volume,Height,Rear Tires,City Fuel Economy,Engine Type,Hip Room,Payload,Size
Rear Wheel Drive,TBD,18 mpg,TBD,Gas,34.5 in.,9.9 in.,65.7 in.,381 hp @ 5600 rpm,2015 Toyota Sequoia specifications,7400 lbs,120.1 cu. ft.,67.9 in.,TBD,Double Wishbone,18 Aluminum,69.1 in.,35.3 in.,18 Aluminum,TBD,6-Speed Automatic,P275/65 R18,122.0 in.,8,205.1 in.,SUV,Standard,None,5730 lbs,Double Wishbone,79.9 in.,Yes,1000 lbs,401 lb-ft @ 3600 rpm,18.9 cu. ft.,77.0 in.,P275/65 R18,13 mpg,5.7L V8,50.4 in.,1350,Fullsize
Front Wheel Drive,94.6 cu. ft.,36 mpg,TBD,Gas,37.1 in.,TBD,53.3 in.,143 hp @ 6500 rpm,2016 Honda Civic Sedan specifications,TBD,TBD,59.0 in.,TBD,Strut-Type,15 Steel,59.9 in.,36.2 in.,15 Steel,60/40,5-Speed Manual,P195/65R15 89H,105.1 in.,5,179.4 in.,Sedan,Standard,None,2754 lbs,Multi-Link,69.0 in.,Yes,TBD,129 lb-ft @ 4300 rpm,12.5 cu. ft.,56.5 in.,P195/65R15 89H,28 mpg,1.8L I4,51.4 in.,N/A,Compact
All Wheel Drive,113.1 cu. ft.,29 mpg,TBD,Gas,39.8 in.,8.7 in.,56.5 in.,170 hp @ 5800 rpm,2016 Subaru Forester specifications,1500 lbs,74.7 cu. ft.,60.9 in.,TBD,Strut-Type,17 Steel,61.1 in.,38.0 in.,17 Steel,TBD,6-Speed Manual,225/60 R17 98H,103.9 in.,5,180.9 in.,SUV,Standard,None,3296 lbs,Double Wishbone,70.7 in.,No,TBD,174 lb-ft @ 4100 rpm,34.4 cu. ft.,66.4 in.,225/60 R17 98H,22 mpg,2.5L I4,53.0 in.,TBD,Compact
Rear Wheel Drive,78.4 cu. ft.,26 mpg,0.31,Gas,34.5 in.,TBD,45.8 in.,343 hp @ 7400 rpm,2015 Infiniti Q60 IPL Convertible specifications,TBD,TBD,60.8 in.,TBD,Double Wishbone,19 Aluminum,62.6 in.,27.2 in.,19 Aluminum,51/49,7-Speed Automatic,225/45R19 96W,112.2 in.,4,185.3 in.,Convertible,Near-Luxury; Sports,None,4189 lbs,Multi-Link,72.9 in.,No,TBD,273 lb-ft @ 5200 rpm,10.3 cu. ft.,55.1 in.,245/40R19 98W,18 mpg,3.7L V6,41.7 in.,N/A,Sub-Compact
Front Wheel Drive,TBD,TBD,TBD,Gas,35.4 in.,TBD,53.2 in.,208 hp @ 5500 rpm,2016 Mercedes-Benz CLA-Class specifications,TBD,TBD,60.9 in.,TBD,Strut-Type,17 Aluminum,60.8 in.,TBD,17 Aluminum,TBD,7-Speed Automated Manual,P225/45HR17,106.3 in.,5,182.3 in.,Sedan,Near-Luxury,Turbocharger,3264 lbs,Double Wishbone,70.0 in.,Yes,TBD,258 lb-ft @ 1250-4000 rpm,TBD,56.74 in.,P225/45HR17,TBD,2.0L I4,TBD,N/A,Compact
Front Wheel Drive,TBD,22 mpg,TBD,Gas,35.5 in.,8.9 in.,54.1 in.,240 hp @ 6400 rpm,2016 Volvo XC90 specifications,3970 lbs,85.1 cu. ft.,64.3 in.,TBD,Strut-Type,18 Aluminum,63.9 in.,30.1 in.,18 Aluminum,TBD,6-Speed Automatic,235/60-R18,112.6 in.,7,189.3 in.,SUV,Luxury,None,4667 lbs,Multi-Link,74.7 in.,No,TBD,236 lb-ft @ 3200 rpm,8.8 cu. ft.,70.2 in.,235/60-R18,16 mpg,3.2L I6,44.5 in.,TBD,Midsize
Rear Wheel Drive,45.4 cu. ft.,38 mpg,TBD,Gas,39.7 in.,TBD,48.0 in.,70 hp @ 5800 rpm,2016 Smart fortwo specifications,TBD,N/A,50.5 in.,TBD,Strut-Type,15 Aluminum,54.5 in.,41.2 in.,15 Aluminum,TBD,5-Speed Automated Manual,155/60R15,73.5 in.,2,106.1 in.,Hatchback,Economy,None,1808 lbs,Torsion-Beam,61.4 in.,No,TBD,68 lb-ft @ 4500 rpm,7.8 cu. ft.,60.7 in.,175/55R15,34 mpg,1.0L I4,45.4 in.,N/A,Sub-Compact
Front Wheel Drive,81.6 cu. ft.,34 mpg,0.352,Gas,36.8 in.,4.6 in.,46.4 in.,160 hp @ 5500 rpm,2016 Fiat 500c Abarth specifications,TBD,23.4 cu. ft.,55.4 in.,31.3 cu. ft.,Strut-Type,16 Aluminum,55.0 in.,31.7 in.,16 Aluminum,64/36,5-Speed Manual,195/45R16 XL 84V BSW,90.6 in.,4,144.4 in.,Convertible,Economy,Turbocharger,2545 lbs,Torsion-Beam,64.1 in.,No,TBD,170 lb-ft @ 2500-4000 rpm,5.4 cu. ft.,59.2 in.,195/45R16 XL 84V,28 mpg,1.4L I4,42.6 in.,N/A,Sub-Compact
Front Wheel Drive,97.7 cu. ft.,28 mpg,TBD,Gas,37.1 in.,5.5 in.,49.3 in.,157 hp @ 6000 rpm,2015 Mazda Mazda5 specifications,TBD,TBD,60.2 in.,TBD,Strut-Type,16 Aluminum,59.8 in.,30.5 in.,16 Aluminum,56/44,5-Speed Automatic,P205/50 R17 89V,108.3 in.,6,180.5 in.,Van,Standard,None,3457 lbs,Multi-Link,68.9 in.,No,TBD,163 lb-ft @ 4000 rpm,44.4 cu. ft.,63.6 in.,P205/50 R17 89V,21 mpg,2.5L I4,40.9 in.,TBD,Midsize
Front Wheel Drive,85.1 cu. ft.,33 mpg,0.30,Gas,37.1 in.,5.7 in.,49.0 in.,170 hp @ 4800 rpm,2016 Volkswagen Beetle specifications,TBD,29.9 cu. ft.,62.2 in.,33.0 cu. ft.,Strut-Type,17 Aluminum,60.9 in.,31.4 in.,17 Aluminum,TBD,5-Speed Manual,215/55 R17 H,99.9 in.,4,168.4 in.,Coupe,Standard,Turbocharger,2948 lbs,Multi-Link,71.2 in.,No,TBD,184 lb-ft @ 1500 rpm,15.4 cu. ft.,58.5 in.,215/55 R17 H,24 mpg,1.8L I4,TBD,N/A,Sub-Compact
Front Wheel Drive,100.6 cu. ft.,24 mpg,TBD,Gas,38.4 in.,7.0 in.,56.3 in.,308 hp @ 6800 rpm,2015 Cadillac SRX specifications,3500 lbs,61.1 cu. ft.,63.8 in.,TBD,Strut-Type,18 Aluminum,63.4 in.,36.3 in.,18 Aluminum,59/41,6-Speed Automatic,P235/65R18,110.5 in.,5,190.3 in.,SUV,Luxury,None,4277 lbs,Double Wishbone,75.2 in.,Yes,TBD,265 lb-ft @ 2400 rpm,29.9 cu. ft.,65.7 in.,P235/65R18,17 mpg,3.6L V6,54.7 in.,TBD,Midsize
Front Wheel Drive,151.8 cu. ft.,24 mpg,TBD,Gas,38.4 in.,7.6 in.,57.8 in.,281 hp @ 6300 rpm,2016 GMC Acadia specifications,5200 lbs,116.1 cu. ft.,67.3 in.,TBD,Strut-Type,18 Aluminum,67.1 in.,33.2 in.,18 Aluminum,TBD,6-Speed Automatic,P255/65R18,118.9 in.,7,200.8 in.,SUV,Standard,None,4656 lbs,Double Wishbone,78.9 in.,Yes,TBD,266 lb-ft @ 3400 rpm,24.1 cu. ft.,72.6 in.,P255/65R18,17 mpg,3.6L V6,48.3 in.,TBD,Fullsize
Front Wheel Drive,88.4 cu. ft.,31 mpg,0.325,Gas,36.4 in.,6.3 in.,52.1 in.,179 hp @ 6000 rpm,2016 Scion tC specifications,TBD,TBD,60.6 in.,TBD,Strut-Type,18 Aluminum,61.4 in.,34.6 in.,18 Aluminum,TBD,6-Speed Manual,P225/45R18,106.3 in.,5,176.6 in.,Coupe,Economy,None,3058 lbs,Double Wishbone,70.7 in.,No,TBD,172 lb-ft @ 4100 rpm,34.5 cu. ft.,55.7 in.,P225/45R18,23 mpg,2.5L I4,48.5 in.,N/A,Compact
Rear Wheel Drive,76.5 cu. ft.,30 mpg,0.29,Gas,35.0 in.,TBD,45.3 in.,200 hp @ 7000 rpm,2016 Subaru BRZ specifications,TBD,TBD,59.8 in.,TBD,Strut-Type,17 Aluminum,60.6 in.,29.9 in.,17 Aluminum,TBD,6-Speed Manual,215/45 R17 87W,101.2 in.,4,166.7 in.,Coupe,Sports,None,2764 lbs,Double Wishbone,69.9 in.,Yes,TBD,151 lb-ft @ 6400 rpm,6.9 cu. ft.,50.6 in.,215/45 R17 87W,22 mpg,2.0L I4,51.7 in.,N/A,Compact
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,2015 Ram ProMaster City specifications,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,N/A,N/A,NA,N/A,N/A,N/A
Rear Wheel Drive,TBD,24 mpg,TBD,Gas,37.7 in.,4.7 in.,55.1 in.,425 hp @ 5500-7300 rpm,2015 BMW M3 specifications,TBD,TBD,62.2 in.,TBD,Strut-Type,18 Aluminum,63.1 in.,35.1 in.,18 Aluminum,52.2/47.8,6-Speed Manual,255/40 ZR18 95Y,110.7 in.,5,184.5 in.,Sedan,Near-Luxury,Turbocharger,3595 lbs,Multi-Link,73.9 in.,Yes,TBD,406 lb-ft @ 1850-5500 rpm,12.0 cu. ft.,56.1 in.,275/40 ZR18 99Y,17 mpg,3.0L I6,TBD,N/A,Compact
Front Wheel Drive,97.2 cu. ft.,40 mpg,0.29,Gas,38.6 in.,5.7 in.,55.2 in.,134 hp @ TBD rpm,2015 Toyota Prius v specifications,TBD,TBD,60.6 in.,TBD,Strut-Type,16 Aluminum,60.8 in.,35.9 in.,16 Aluminum,TBD,CVT,P205/60 R16,109.4 in.,5,181.7 in.,Hatchback,Standard; Hybrid,None,3274 lbs,Torsion-Beam,69.9 in.,No,TBD,TBD lb-ft @ TBD rpm,34.3 cu. ft.,62.0 in.,P205/60 R16,44 mpg,1.8L I4,53.5 in.,N/A,Midsize
Rear Wheel Drive,TBD,34 mpg,TBD,Gas,37.2 in.,5.1 in.,54.3 in.,240 hp @ 5000-6000 rpm,2016 BMW 4-Series Gran Coupe specifications,N/A,45.9 cu. ft.,60.8 in.,TBD,Strut-Type,17 Aluminum,62.8 in.,33.7 in.,17 Aluminum,48.5/51.5,8-Speed Automatic,P225/50VR17,110.6 in.,5,182.6 in.,Hatchback,Near-Luxury,Turbocharger,3610 lbs,Multi-Link,71.9 in.,Yes,N/A,255 lb-ft @ 1250-4800 rpm,17 cu. ft.,54.7 in.,P225/50VR17,23 mpg,2.0L I4,TBD,N/A,Compact
Rear Wheel Drive,TBD,21 mpg,TBD,Gas,40.5 in.,8.7 in.,65.7 in.,420 hp @ 5600 rpm,2015 GMC Sierra 1500 Denali specifications,9400 lbs,N/A,68.8 in.,TBD,Torsion-Beam,17 Steel,67.6 in.,40.9 in.,17 Steel,56/44,6-Speed Automatic,P245/70R17,143.5 in.,5,229.5 in.,Pickup Truck,Standard,None,5434 lbs,Solid Axle,80.0 in.,Yes,TBD,460 lb-ft @ 4100 rpm,53.4 cu. ft.,74.2 in.,P245/70R17,15 mpg,6.2L V8,60.3 in.,1780,Fullsize
All Wheel Drive,TBD,32 mpg,0.32,Gas,36.0 in.,TBD,52.8 in.,220 hp @ 4450-6000 rpm,2016 Audi A5 specifications,TBD,TBD,62.6 in.,TBD,Multi-Link,18 Aluminum,62.1 in.,31.7 in.,18 Aluminum,TBD,6-Speed Manual,245/40,108.3 in.,4,182.1 in.,Coupe,Near-Luxury,Turbocharger,3583 lbs,Multi-Link,73.0 in.,Yes,TBD,258 lb-ft @ 1500-4300 rpm,12.2 cu. ft.,54.0 in.,245/40,22 mpg,2.0L I4,TBD,N/A,Compact
Rear Wheel Drive,82.0 cu. ft.,28 mpg,TBD,Gas,34.8 in.,TBD,50.8 in.,306 hp @ 6400 rpm,2015 Lexus RC specifications,TBD,TBD,62.2 in.,TBD,Double Wishbone,18 Aluminum,61.8 in.,27.3 in.,18 Aluminum,54/46,8-Speed Automatic,235/45R18,107.5 in.,4,184.8 in.,Coupe,Luxury,None,3748 lbs,Multi-Link,72.4 in.,Yes,TBD,277 lb-ft @ 4800 rpm,10.4 cu. ft.,54.9 in.,235/45R18,19 mpg,3.5L V6,44.9 in.,N/A,Compact
Rear Wheel Drive,120.8 cu. ft.,23 mpg,TBD,Gas,38.1 in.,7.9 in.,62.6 in.,355 hp @ 5600 rpm,2016 Chevrolet Tahoe specifications,8600 lbs,94.7 cu. ft.,68.7 in.,TBD,Strut-Type,18 Aluminum,68.7 in.,24.8 in.,18 Aluminum,52/48,6-Speed Automatic,P265/65R18,116.0 in.,9,204.0 in.,SUV,Standard,None,5466 lbs,Multi-Link,80.5 in.,Yes,TBD,383 lb-ft @ 4100 rpm,15.3 cu. ft.,74.4 in.,P265/65R18,16 mpg,5.3L V8,49.3 in.,1702,Fullsize
Rear Wheel Drive,159.5 cu. ft.,20 mpg,TBD,Gas,38.0 in.,8.4 in.,67.1 in.,380 hp @ 5250 rpm,2015 Lincoln Navigator L specifications,8500 lbs,128.2 cu. ft.,67.0 in.,TBD,Double Wishbone,20 Aluminum,67.2 in.,37.7 in.,20 Aluminum,49/51,6-Speed Automatic,P275/55HR20,131.0 in.,8,223.3 in.,SUV,Luxury,None,6061 lbs,Multi-Link,78.8 in.,Yes,TBD,460 lb-ft @ 2750 rpm,42.6 cu. ft.,78.0 in.,P275/55HR20,15 mpg,3.5L V6,51.8 in.,1570,Fullsize
Front Wheel Drive,83.4 cu. ft.,35 mpg,TBD,Electric,34.7 in.,TBD,49.9 in.,84 hp @ 4800 rpm,2015 Cadillac ELR specifications,N/A,N/A,62.1 in.,TBD,Strut-Type,20 Aluminum,62.4 in.,33.6 in.,20 Aluminum,TBD,1-Speed Fixed Ratio,245/40R20,106.1 in.,4,186.0 in.,Coupe,Luxury; Hybrid; Electric,None,4065 lbs,Torsion-Beam,72.7 in.,No,N/A,295 lb-ft @ N/A rpm,10.5 cu. ft.,55.9 in.,245/40R20,31 mpg,-,48.6 in.,N/A,Compact
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,2015 Nissan Rogue Select specifications,N/A,N/A,N/A,N/A,N/A,-,N/A,N/A,-,N/A,N/A,N/A,N/A,0,N/A,SUV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,-,N/A,N/A,N/A
Rear Wheel Drive,103.6 cu. ft.,26 mpg,0.27,Gas,37.7 in.,6.0 in.,56.7 in.,330 hp @ 7000 rpm,2015 Infiniti Q70 specifications,TBD,TBD,62.0 in.,TBD,Double Wishbone,18 Aluminum,61.8 in.,36.2 in.,18 Aluminum,54/46,7-Speed Automatic,245/50R18,114.2 in.,5,196.1 in.,Sedan,Luxury,None,3867 lbs,Multi-Link,72.6 in.,No,TBD,270 lb-ft @ 5200 rpm,14.9 cu. ft.,59.1 in.,245/50R18,18 mpg,3.7L V6,53.5 in.,N/A,Midsize
All Wheel Drive,TBD,14 mpg,TBD,Gas,40.0 in.,TBD,56.3 in.,536 hp @ 5500 rpm,2015 Mercedes-Benz G63 AMG specifications,TBD,79.5 cu. ft.,59.6 in.,TBD,Solid Axle,20 Aluminum,59.6 in.,41.9 in.,20 Aluminum,TBD,7-Speed Automatic,275/50 R20,112.2 in.,5,184.5 in.,SUV,Sports; Performance,Turbocharger,5622 lbs,Solid Axle,76.3 in.,Yes,TBD,560 lb-ft @ 2000-5000 rpm,45.2 cu. ft.,76.0 in.,275/50 R20,12 mpg,5.5L V8,TBD,TBD,Midsize
Front Wheel Drive,100.1 cu. ft.,31 mpg,0.28,Gas,37.5 in.,TBD,55.0 in.,268 hp @ 6200 rpm,2015 Lexus ES specifications,TBD,TBD,62.2 in.,TBD,Strut-Type,17 Aluminum,62.0 in.,40.0 in.,17 Aluminum,61/39,6-Speed Automatic,215/55R17,111.0 in.,5,192.7 in.,Sedan,Luxury,None,3549 lbs,Strut-Type,71.7 in.,No,TBD,248 lb-ft @ 4700 rpm,15.2 cu. ft.,57.1 in.,215/55R17,21 mpg,3.5L V6,53.8 in.,N/A,Midsize
Front Wheel Drive,81.4 cu. ft.,32 mpg,0.37,Gas,37.6 in.,5.6 in.,43.1 in.,170 hp @ 4800 rpm,2016 Volkswagen Beetle Convertible specifications,TBD,TBD,62.1 in.,29.5 cu. ft.,Strut-Type,17 Aluminum,61.2 in.,31.4 in.,17 Aluminum,TBD,6-Speed Automatic,215/55 R17 H,100.0 in.,5,168.4 in.,Convertible,Standard,Turbocharger,3225 lbs,Multi-Link,71.2 in.,No,TBD,184 lb-ft @ 1500 rpm,7.1 cu. ft.,58.0 in.,215/55 R17 H,24 mpg,1.8L I4,TBD,N/A,Sub-Compact
Front Wheel Drive,96.2 cu. ft.,37 mpg,TBD,Gas,37.3 in.,5.3 in.,54.9 in.,145 hp @ 6500 rpm,2015 Kia Forte specifications,TBD,TBD,61.5 in.,TBD,Strut-Type,15 Steel,62.0 in.,35.9 in.,15 Steel,TBD,6-Speed Manual,195/65R15,106.3 in.,5,179.5 in.,Sedan,Economy,None,2804 lbs,Torsion-Beam,70.1 in.,No,TBD,130 lb-ft @ 4700 rpm,14.9 cu. ft.,56.3 in.,195/65R15,25 mpg,1.8L I4,53.1 in.,N/A,Midsize
Rear Wheel Drive,TBD,TBD,TBD,Gas,TBD,TBD,TBD,245 hp @ 8200 rpm,2015 Ariel Atom 3 specifications,TBD,TBD,63.0 in.,TBD,Double Wishbone,15 Aluminum,63.0 in.,TBD,15 Aluminum,TBD,6-Speed Automated Manual,195/50R15,92.3 in.,2,134.5 in.,Convertible,Sports,Supercharger,1350 lbs,Double Wishbone,70.8 in.,No,TBD,210 lb-ft @ 6100 rpm,TBD,47.0 in.,195/50R15,TBD,2.0L I4,TBD,N/A,Sub-Compact
Rear Wheel Drive,TBD,29 mpg,0.27,Gas,37.8 in.,5.1 in.,55.7 in.,306 hp @ 6400 rpm,2015 Lexus GS specifications,TBD,TBD,62.0 in.,TBD,Double Wishbone,18 Aluminum,62.6 in.,36.3 in.,18 Aluminum,53/47,6-Speed Automatic,235/45R18,112.2 in.,5,190.7 in.,Sedan,Luxury,None,3795 lbs,Multi-Link,72.4 in.,No,TBD,277 lb-ft @ 4800 rpm,14.1 cu. ft.,57.3 in.,235/45R18,19 mpg,3.5L V6,54.1 in.,N/A,Midsize
All Wheel Drive,TBD,16 mpg,TBD,Gas,39.7 in.,TBD,65.7 in.,411 hp @ 5500 rpm,2014 Ford F-150 SVT Raptor specifications,7050 lbs,TBD,73.6 in.,TBD,Double Wishbone,17 Aluminum,73.6 in.,33.4 in.,17 Aluminum,TBD,6-Speed Automatic,LT315/70R-17,133.3 in.,6,220.6 in.,Pickup Truck,Standard,None,6016 lbs,Solid Axle,86.3 in.,No,TBD,434 lb-ft @ 4500 rpm,67.0 cu. ft.,78.5 in.,LT315/70R-17,11 mpg,6.2L V8,65.4 in.,970,Fullsize
Rear Wheel Drive,TBD,25 mpg,0.35,Gas,37.8 in.,8.1 in.,50.4 in.,290 hp @ 6400 rpm,2015 Dodge Durango specifications,6200 lbs,84.5 cu. ft.,63.9 in.,44.8 cu. ft.,Double Wishbone,18 Aluminum,64.1 in.,34.7 in.,18 Aluminum,TBD,8-Speed Automatic,P265/60R18,119.8 in.,7,201.2 in.,SUV,Standard,None,4756 lbs,Multi-Link,75.5 in.,No,TBD,260 lb-ft @ 4800 rpm,17.2 cu. ft.,70.9 in.,P265/60R18,18 mpg,3.6L V6,42.8 in.,1330,Fullsize
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,2016 Mercedes-Benz S-Class Coupe specifications,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,N/A,N/A,NA,N/A,N/A,N/A
All Wheel Drive,TBD,19 mpg,0.38,Gas,39.1 in.,8.4 in.,59.5 in.,550 hp @ TBD rpm,2016 Land Rover Range Rover Sport SVR specifications,7716 lbs,62.2 cu. ft.,66.5 in.,TBD,Double Wishbone,21 Aluminum,66.3 in.,37 in.,21 Aluminum,TBD,8-Speed Automatic,275/45 R21,115.1 in.,5,191.8 in.,SUV,Luxury,Supercharger,5148 lbs,Multi-Link,79.5 in.,Yes,772 lbs,502 lb-ft @ TBD rpm,27.7 cu. ft.,70 in.,275/45 R21,14 mpg,5.0L V8,TBD,TBD,Midsize
Front Wheel Drive,128.2 cu. ft.,31 mpg,TBD,Gas,35.7 in.,8.5 in.,51.4 in.,166 hp @ 6000 rpm,2016 Mitsubishi Outlander specifications,1500 lbs,63.3 cu. ft.,60.6 in.,TBD,Strut-Type,18 Aluminum,60.6 in.,28.2 in.,18 Aluminum,56/44,1-Speed CVT,225/55 R18,105.1 in.,5,184.8 in.,SUV,Standard,None,3318 lbs,Multi-Link,71.3 in.,No,150 lbs,162 lb-ft @ 4200 rpm,10.3 cu. ft.,66.1 in.,225/55 R18,25 mpg,2.4L I4,39.4 in.,TBD,Compact
Rear Wheel Drive,80.8 cu. ft.,25 mpg,TBD,Gas,35.7 in.,TBD,44.7 in.,435 hp @ 6500 rpm,2015 Ford Mustang GT Convertible specifications,TBD,TBD,62.3 in.,TBD,Strut-Type,18 Aluminum,63.9 in.,30.8 in.,18 Aluminum,TBD,6-Speed Manual,P235/50WR18,107.1 in.,4,188.3 in.,Convertible,Sports,None,3872 lbs,Multi-Link,75.4 in.,No,TBD,400 lb-ft @ 4250 rpm,11.4 cu. ft.,54.9 in.,P235/50WR18,19 mpg,5.0L V8,43.7 in.,N/A,Midsize
Front Wheel Drive,123.8 cu. ft.,31 mpg,TBD,Gas,37.4 in.,TBD,56.9 in.,196 hp @ 6300 rpm,2016 Chevrolet Impala specifications,1000 lbs,TBD,62.2 in.,TBD,Strut-Type,18 Steel,61.0 in.,39.8 in.,18 Steel,TBD,6-Speed Automatic,P235/50R18,111.7 in.,5,201.3 in.,Sedan,Standard,None,3730 lbs,Multi-Link,73.0 in.,Yes,TBD,186 lb-ft @ 4400 rpm,18.8 cu. ft.,58.9 in.,P235/50R18,22 mpg,2.5L I4,54.1 in.,N/A,Fullsize
Rear Wheel Drive,TBD,26 mpg,TBD,Gas,36.7 in.,8.4 in.,57.3 in.,200 hp @ 6300 rpm,2016 Chevrolet Colorado specifications,3500 lbs,N/A,62.4 in.,TBD,Strut-Type,16 Steel,62.4 in.,28.6 in.,16 Steel,56/44,6-Speed Manual,P265/70R16,128.3 in.,2,212.7 in.,Pickup Truck,Standard,None,3960 lbs,Solid Axle,74.3 in.,Yes,TBD,191 lb-ft @ 4400 rpm,49.9 cu. ft.,70.4 in.,P265/70R16,19 mpg,2.5L I4,52.2 in.,1410,Midsize
Rear Wheel Drive,51.6 cu. ft.,26 mpg,0.30,Gas,38.2 in.,TBD,54.4 in.,350 hp @ 7400 rpm,2015 Nissan 370Z Nismo specifications,N/A,N/A,61.2 in.,TBD,Double Wishbone,19 Aluminum,62.2 in.,42.9 in.,19 Aluminum,54/46,6-Speed Manual,P245/40R19,100.4 in.,2,170.5 in.,Coupe,Sports; Performance,None,3389 lbs,Multi-Link,73.6 in.,No,N/A,276 lb-ft @ 5200 rpm,6.9 cu. ft.,51.8 in.,P285/35R19,18 mpg,3.7L V6,54.6 in.,N/A,Compact
Rear Wheel Drive,107.7 cu. ft.,29 mpg,TBD,Gas,38.2 in.,5.3 in.,57.1 in.,311 hp @ 6000 rpm,2016 Hyundai Genesis specifications,TBD,TBD,64.1 in.,TBD,Multi-Link,18 Aluminum,65.3 in.,35.0 in.,18 Aluminum,TBD,8-Speed Automatic,P245/45R18 A/S,118.5 in.,5,196.5 in.,Sedan,Near-Luxury,None,4138 lbs,Multi-Link,74.4 in.,Yes,TBD,293 lb-ft @ 5000 rpm,15.3 cu. ft.,58.3 in.,P245/45R18 A/S,18 mpg,3.8L V6,54.8 in.,N/A,Midsize
Rear Wheel Drive,TBD,TBD,TBD,Gas,35.3 in.,TBD,42.5 in.,580 hp @ 6000 rpm,2015 Chevrolet Camaro ZL1 specifications,N/A,TBD,63.7 in.,TBD,Multi-Link,20 Aluminum,63.7 in.,29.9 in.,20 Aluminum,TBD,6-Speed Manual,P285/35ZR20,112.3 in.,4,190.6 in.,Coupe,Sports; Performance,Supercharger,4120 lbs,Multi-Link,75.5 in.,No,TBD,556 lb-ft @ 4200 rpm,11.3 cu. ft.,54.2 in.,P305/35ZR20,TBD,6.2L V8,TBD,N/A,Midsize
Rear Wheel Drive,TBD,24 mpg,TBD,Gas,42.2 in.,8.2 in.,66.0 in.,285 hp @ 5300 rpm,2015 Chevrolet Silverado 1500 specifications,6100 lbs,N/A,68.8 in.,TBD,Double Wishbone,17 Steel,67.6 in.,45.3 in.,17 Steel,58/42,6-Speed Automatic,P245/70R17,119.0 in.,3,205.6 in.,Pickup Truck,Standard,None,6500 lbs,Solid Axle,80.0 in.,Yes,TBD,305 lb-ft @ 3900 rpm,61.0 cu. ft.,74.0 in.,P245/70R17,18 mpg,4.3L V6,60.7 in.,1950,Fullsize
Front Wheel Drive,93.7 cu. ft.,49 mpg,0.25,Gas,37.6 in.,5.3 in.,53.1 in.,134 hp @ TBD rpm,2015 Toyota Prius Plug-in Hybrid specifications,TBD,TBD,60.0 in.,TBD,Strut-Type,15 Aluminum,59.8 in.,36.0 in.,15 Aluminum,TBD,CVT,P195/65 R15,106.3 in.,5,176.4 in.,Hatchback,Standard; Hybrid,None,3165 lbs,Torsion-Beam,68.7 in.,No,TBD,TBD lb-ft @ TBD rpm,21.6 cu. ft.,58.7 in.,P195/65 R15,51 mpg,1.8L I4,51.2 in.,N/A,Compact
Front Wheel Drive,172.6 cu. ft.,28 mpg,TBD,Gas,38.0 in.,TBD,60.9 in.,248 hp @ 5700 rpm,2015 Honda Odyssey specifications,3500 lbs,148.5 cu. ft.,68.1 in.,TBD,Strut-Type,17 Steel,68.2 in.,42.4 in.,17 Steel,57/43,6-Speed Automatic,235/65R17 103T,118.1 in.,7,202.9 in.,Van,Standard,None,4396 lbs,Double Wishbone,79.2 in.,Yes,TBD,250 lb-ft @ 4800 rpm,38.4 cu. ft.,68.4 in.,235/65R17 103T,19 mpg,3.5L V6,48.4 in.,TBD,Fullsize
Front Wheel Drive,104.2 cu. ft.,28 mpg,TBD,Gas,37.8 in.,TBD,56.3 in.,305 hp @ 6800 rpm,2015 Cadillac XTS specifications,N/A,N/A,62.3 in.,TBD,Strut-Type,19 Aluminum,62.5 in.,40.0 in.,19 Aluminum,TBD,6-Speed Automatic,P245/45R19,111.7 in.,5,202.0 in.,Sedan,Luxury,None,4006 lbs,Double Wishbone,72.9 in.,Yes,N/A,264 lb-ft @ 5200 rpm,18.0 cu. ft.,59.4 in.,P245/45R19,18 mpg,3.6L V6,54.3 in.,N/A,Fullsize
