Layout,Passenger Volume,Highway Fuel Economy,Drag Coefficient,Fuel Type,Head Room,Ground Clearance,Shoulder Room,Power,title,Trailer Weight,Cargo Volume (Seats Folded),Front Track,Volume,Front Suspension,Front,Rear Track,Leg Room,Rear,Weight Distribution,Transmission,Front Tires,Wheelbase,Seats,Length,Body Style,Market Segment,Forced Induction,Weight,Rear Suspension,Width,Direct Injection,Tongue Weight,Torque,Cargo Volume,Height,Rear Tires,City Fuel Economy,Engine Type,Hip Room,Payload,Size
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,2016 Mercedes-AMG GLE63 S Coupe specifications,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,N/A,N/A,NA,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,2016 Ferrari 488 Spider specifications,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,N/A,N/A,NA,N/A,N/A,N/A
Front Wheel Drive,139.4 cu. ft.,24 mpg,TBD,Gas,35.4 in.,TBD,56.9 in.,273 hp @ 6250 rpm,2015 Mazda CX-9 specifications,2000 lbs,100.7 cu. ft.,65.1 in.,TBD,Strut-Type,18 Aluminum,64.7 in.,32.4 in.,18 Aluminum,TBD,6-Speed Automatic,P245/60HR18,113.2 in.,7,200.2 in.,SUV,Near-Luxury,None,4323 lbs,Multi-Link,76.2 in.,No,200 lbs,270 lb-ft @ 4250 rpm,17.2 cu. ft.,68.0 in.,P245/60HR18,17 mpg,3.7L V6,43.7 in.,TBD,Fullsize
Rear Wheel Drive,52.0 cu. ft.,29 mpg,TBD,Gas,38 in.,TBD,55 in.,455 hp @ 6000 rpm,2016 Chevrolet Corvette Stingray specifications,TBD,N/A,63 in.,N/A,Double Wishbone,18 Aluminum,61.7 in.,43 in.,19 Aluminum,50/50,7-Speed Manual,P245/40R18,106.7 in.,2,176.9 in.,Coupe,Sports,None,3298 lbs,Double Wishbone,73.9 in.,Yes,TBD,460 lb-ft @ 4600 rpm,15 cu. ft.,48.6 in.,P285/35R19,17 mpg,6.2L V8,54 in.,N/A,Midsize
Front Wheel Drive,142.3 cu. ft.,25 mpg,TBD,Gas,33.5 in.,TBD,49.1 in.,303 hp @ 6500 rpm,2014 Lincoln MKT specifications,4500 lbs,75.9 cu. ft.,65.4 in.,TBD,Strut-Type,19 Aluminum,65.3 in.,33.0 in.,19 Aluminum,TBD,6-Speed Automatic,P235/55R19 A/S BSW,117.9 in.,7,207.6 in.,SUV,Luxury,None,4702 lbs,Multi-Link,85.7 in.,No,TBD,278 lb-ft @ 4000 rpm,17.9 cu. ft.,67.4 in.,P235/55R19 A/S BSW,17 mpg,3.7L V6,40.6 in.,TBD,Fullsize
All Wheel Drive,93.5 cu. ft.,31 mpg,0.32,Gas,38.1 in.,4.8 in.,53.9 in.,292 hp @ 5400 rpm,2016 Volkswagen Golf R specifications,TBD,52.7 cu. ft.,60.7 in.,42.3 cu. ft.,Strut-Type,18 Aluminum,59.7 in.,35.6 in.,18 Aluminum,TBD,6-Speed Manual,225/40 R18,103.5 in.,5,168.4 in.,Hatchback,Sports,Turbocharger,3283 lbs,Multi-Link,70.8 in.,No,TBD,280 lb-ft @ 1800 rpm,22.8 cu. ft.,56.5 in.,225/40 R18,23 mpg,2.0L I4,TBD,N/A,Compact
Front Wheel Drive,151.1 cu. ft.,24 mpg,TBD,Gas,37.8 in.,7.6 in.,57.4 in.,288 hp @ 6300 rpm,2016 Buick Enclave specifications,4500 lbs,115.2 cu. ft.,67.3 in.,TBD,Strut-Type,18 Aluminum,67.1 in.,33.2 in.,18 Aluminum,TBD,6-Speed Automatic,P255/65R18 ALS,118.9 in.,7,201.9 in.,SUV,Near-Luxury,None,4724 lbs,Double Wishbone,79.0 in.,Yes,TBD,270 lb-ft @ 3400 rpm,23.3 cu. ft.,70.3 in.,P255/65R18 ALS,17 mpg,3.6L V6,48.3 in.,TBD,Fullsize
Front Wheel Drive,TBD,29 mpg,0.32,Gas,37.4 in.,TBD,53.6 in.,200 hp @ 5100-6000 rpm,2016 Audi Q3 specifications,TBD,48.2 cu. ft.,61.1 in.,TBD,Multi-Link,18 Aluminum,61.2 in.,31.1 in.,18 Aluminum,TBD,6-Speed Automatic,235/50 R18,102.5 in.,5,172.8 in.,SUV,Luxury,Turbocharger,3494 lbs,Multi-Link,79.5 in.,Yes,TBD,207 lb-ft @ 1700-5000 rpm,16.7 cu. ft.,62.6 in.,235/50 R18,20 mpg,2.0L I4,TBD,TBD,Compact
Front Wheel Drive,92.8 cu. ft.,34 mpg,TBD,Gas,38.8 in.,6.2 in.,52.8 in.,138 hp @ 4900 rpm,2016 Chevrolet Trax specifications,TBD,48.4 cu. ft.,60.6 in.,TBD,Strut-Type,16 Steel,60.6 in.,35.7 in.,16 Steel,TBD,6-Speed Automatic,P205/70R16 ALS,100.6 in.,5,168.5 in.,SUV,Standard,None,3048 lbs,Torsion-Beam,69.9 in.,No,TBD,148 lb-ft @ 1850 rpm,18.7 cu. ft.,65.9 in.,P205/70R16 ALS,26 mpg,1.4L I4,50.2 in.,TBD,Compact
All Wheel Drive,TBD,TBD,TBD,Gas,TBD,TBD,TBD,660 hp @ 8000 rpm,2015 Ferrari FF specifications,TBD,TBD,66.0 in.,TBD,Multi-Link,20 Aluminum,65.4 in.,TBD,20 Aluminum,47/53,7-Speed Automated Manual,245/35 ZR 20,117.7 in.,4,193.2 in.,Hatchback,Exotic,None,4145 lbs,Multi-Link,76.9 in.,No,TBD,683 lb-ft @ 6000 rpm,TBD,54.3 in.,295/35 ZR 20,TBD,6.3L V12,TBD,N/A,Midsize
All Wheel Drive,88.4 cu. ft.,21 mpg,TBD,Gas,40.3 in.,8.3 in.,44.7 in.,285 hp @ 6400 rpm,2015 Jeep Wrangler specifications,2000 lbs,56.5 cu. ft.,61.9 in.,48.3 cu. ft.,Trailing Arm,16 Steel,61.9 in.,35.6 in.,16 Steel,TBD,6-Speed Manual,P225/75R16,95.4 in.,4,164.3 in.,SUV,Standard,None,3760 lbs,Trailing Arm,73.7 in.,No,TBD,260 lb-ft @ 4800 rpm,12.8 cu. ft.,72.5 in.,P225/75R16,17 mpg,3.6L V6,44.7 in.,1000,Midsize
Rear Wheel Drive,TBD,28 mpg,0.34,Gas,37.4 in.,4.6 in.,53.2 in.,167 hp @ 7000 rpm,2015 Mazda MX-5 Miata specifications,N/A,N/A,58.7 in.,TBD,Double Wishbone,16 Aluminum,58.9 in.,43.1 in.,16 Aluminum,52/48,5-Speed Manual,P205/50R16,91.7 in.,2,157.3 in.,Roadster,Sports,None,2480 lbs,Multi-Link,67.7 in.,No,N/A,140 lb-ft @ 5000 rpm,5.3 cu. ft.,49.0 in.,P205/50R16,22 mpg,2.0L I4,50.6 in.,N/A,Compact
Front Wheel Drive,163.5 cu. ft.,25 mpg,TBD,Gas,39.8 in.,5.6 in.,63.7 in.,283 hp @ 6400 rpm,2015 Ram Cargo Van specifications,3600 lbs,143.8 cu. ft.,65.6 in.,TBD,Strut-Type,16 Steel,64.8 in.,40.7 in.,16 Steel,TBD,6-Speed Automatic,225/65R16 BSW,121.2 in.,2,202.8 in.,Van,Standard,None,4510 lbs,Torsion-Beam,78.7 in.,No,TBD,260 lb-ft @ 4800 rpm,33.0 cu. ft.,67.9 in.,225/65R16 BSW,17 mpg,3.6L V6,58.4 in.,TBD,Fullsize
Front Wheel Drive,164.4 cu. ft.,25 mpg,0.309,Gas,38.3 in.,6.5 in.,61.1 in.,266 hp @ 6200 rpm,2015 Toyota Sienna specifications,3500 lbs,150.0 cu. ft.,67.7 in.,TBD,Strut-Type,17 Aluminum,67.7 in.,36.3 in.,17 Aluminum,TBD,6-Speed Automatic,P235/60R17,119.3 in.,7,200.2 in.,Van,Standard,None,4375 lbs,Torsion-Beam,78.1 in.,Yes,TBD,245 lb-ft @ 4700 rpm,39.1 cu. ft.,68.9 in.,P235/60R17,18 mpg,3.5L V6,50.3 in.,1380,Fullsize
Rear Wheel Drive,TBD,36 mpg,TBD,Gas,37.7 in.,5.5 in.,55.1 in.,180 hp @ 5000-6250 rpm,2015 BMW 3-Series specifications,TBD,TBD,60.3 in.,TBD,Strut-Type,17 Aluminum,61.9 in.,35.1 in.,17 Aluminum,50.1/49.9,8-Speed Automatic,P225/50VR17,110.6 in.,5,182.5 in.,Sedan,Near-Luxury,Turbocharger,3340 lbs,Multi-Link,71.3 in.,Yes,TBD,200 lb-ft @ 1250-4500 rpm,17 cu. ft.,56.3 in.,P225/50VR17,24 mpg,2.0L I4,TBD,N/A,Compact
Front Wheel Drive,75.5 cu. ft.,34 mpg,0.362,Gas,35.6 in.,4.5 in.,46.4 in.,135 hp @ 5500 rpm,2016 Fiat 500 Turbo specifications,TBD,TBD,55.4 in.,30.2 cu. ft.,Strut-Type,16 Aluminum,55.0 in.,31.7 in.,16 Aluminum,65/35,5-Speed Manual,195/45R16XL BSW,90.6 in.,4,144.4 in.,Hatchback,Economy; Sports,Turbocharger,2505 lbs,Torsion-Beam,64.1 in.,No,TBD,150 lb-ft @ 2500-4200 rpm,9.5 cu. ft.,59.8 in.,195/45R16XL BSW,28 mpg,1.4L I4,42.6 in.,N/A,Sub-Compact
Front Wheel Drive,53.98 cu. ft.,28 mpg,0.339,Gas,38.5 in.,8.7 in.,55.1 in.,184 hp @ 6400 rpm,2015 Jeep Cherokee specifications,2000 lbs,54.9 cu. ft.,62.2 in.,TBD,Strut-Type,17 Steel,61.9 in.,40.3 in.,17 Steel,57/43,9-Speed Automatic,225/60R17 BSW,106.3 in.,5,182.0 in.,SUV,Standard,None,3655 lbs,Multi-Link,73.2 in.,No,TBD,171 lb-ft @ 4600 rpm,24.6 cu. ft.,66.2 in.,225/60R17 BSW,21 mpg,2.4L I4,49.9 in.,TBD,Compact
Rear Wheel Drive,TBD,20 mpg,TBD,Gas,37 in.,4.3 in.,54.6 in.,552 hp @ 6000-7000 rpm,2015 BMW M6 Gran Coupe specifications,N/A,N/A,64.2 in.,TBD,Double Wishbone,19 Aluminum,63.5 in.,35.3 in.,19 Aluminum,51.5/48.5,7-Speed Automated Manual,265/40 ZR19 102Y XL,116.7 in.,5,197.5 in.,Sedan,Luxury; Performance,Turbocharger,4430 lbs,Multi-Link,82.9 in.,Yes,N/A,502 lb-ft @ 1500-5750 rpm,16.2 cu. ft.,54.9 in.,295/35 ZR19 104Y XL,14 mpg,4.4L V8,TBD,N/A,Midsize
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,2015 Aston Martin V12 Vantage S Roadster specifications,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,N/A,N/A,NA,N/A,N/A,N/A
Front Wheel Drive,90.2 cu. ft.,36 mpg,0.319,Gas,36.6 in.,TBD,51.9 in.,109 hp @ 6000 rpm,2015 Nissan Versa Sedan specifications,TBD,TBD,58.3 in.,TBD,Strut-Type,15 Steel,58.5 in.,37.0 in.,15 Steel,59/41,5-Speed Manual,185/65R15,102.4 in.,5,175.4 in.,Sedan,Economy; Standard,None,2363 lbs,Torsion-Beam,66.7 in.,No,TBD,107 lb-ft @ 4400 rpm,14.9 cu. ft.,59.6 in.,185/65R15,27 mpg,1.6L I4,46.2 in.,N/A,Compact
Rear Wheel Drive,83.9 cu. ft.,23 mpg,TBD,Gas,35.1 in.,TBD,44.5 in.,464 hp @ 5850 rpm,2016 Cadillac ATS-V specifications,TBD,TBD,60.5 in.,TBD,Strut-Type,18 Aluminum,60.4 in.,33.5 in.,18 Aluminum,51/49,6-Speed Manual,255/35ZR18,109.3 in.,5,184.0 in.,Sedan,Luxury,Turbocharger,3700 lbs,Multi-Link,71.3 in.,Yes,TBD,445 lb-ft @ 3500 rpm,10.4 cu. ft.,55.7 in.,255/35ZR18,17 mpg,3.6L V6,44.5 in.,N/A,Compact
Rear Wheel Drive,128.0 cu. ft.,22 mpg,0.36,Gas,34.3 in.,9.0 in.,57.7 in.,270 hp @ 5600 rpm,2015 Toyota 4Runner specifications,5000 lbs,89.7 cu. ft.,63.2 in.,TBD,Double Wishbone,17 Aluminum,63.2 in.,29.3 in.,17 Aluminum,TBD,5-Speed Automatic,P265/70R17,109.8 in.,7,190.2 in.,SUV,Standard,None,4400 lbs,Multi-Link,75.8 in.,No,TBD,278 lb-ft @ 4400 rpm,47.2 cu. ft.,70.1 in.,P265/70R17,17 mpg,4.0L V6,43.3 in.,1700,Midsize
Front Wheel Drive,163.5 cu. ft.,25 mpg,0.316,Gas,37.9 in.,5.8 in.,62.0 in.,283 hp @ 6400 rpm,2015 Dodge Grand Caravan specifications,3600 lbs,143.8 cu. ft.,65.6 in.,54.0 cu. ft.,Strut-Type,17 Steel,64.8 in.,32.7 in.,17 Steel,56/44,6-Speed Automatic,225/65R17,121.2 in.,7,202.8 in.,Van,Standard,None,4510 lbs,Torsion-Beam,78.7 in.,No,TBD,260 lb-ft @ 4400 rpm,33.0 cu. ft.,68.9 in.,225/65R17,17 mpg,3.6L V6,48.7 in.,TBD,Midsize
Front Wheel Drive,90.7 cu. ft.,TBD,TBD,Electric,37.9 in.,TBD,53.7 in.,143 hp @ TBD rpm,2015 Ford Focus Electric specifications,N/A,TBD,61.2 in.,TBD,Strut-Type,17 Aluminum,60.4 in.,33.2 in.,17 Aluminum,TBD,1-Speed Fixed Ratio,P225/50R17,104.3 in.,5,171.6 in.,Hatchback,Standard; Electric,None,3624 lbs,Multi-Link,71.8 in.,No,N/A,184 lb-ft @ TBD rpm,TBD,58.2 in.,P225/50R17,TBD,-,52.7 in.,N/A,Compact
