State,Percent change
Connecticut,1.6
Maine,-7.7
Massachusetts,4.8
New Hampshire,2.5
New Jersey,1.1
New York,0
Pennsylvania,3.7
Rhode Island,7.8
Vermont,8.3
Illinois,1.7
Indiana,3.8
Iowa,0.9
Kansas,-1.2
Michigan,3.4
Minnesota,6.4
Missouri,-2.8
Nebraska,4.5
North Dakota,6.1
Ohio,5.6
South Dakota,5.3
Wisconsin,2
