Hurricanes (1944 - 2006)
3
3
1
2
4
3
8
5
3
4
2
6
2
2
4
2
2
7
1
2
6
1
3
1
0
5
2
1
0
1
2
3
2
1
2
2
2
3
1
1
1
3
0
1
3
2
1
2
1
1
0
5
6
1
3
5
3
4
2
3
6
7
2
2
5
2
5
